"Gene","Description","Phenotype","Treated_OneTX_1","Untreated_NewMP_1","Treated_OneTX_2","Untreated_NewMP_2","Treated_OneTX_3","Untreated_NewMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.1.1020","leucine-rich repeat-containing protein","overrepresented",717.742662153064,148.459092750513,1072.63168507794,133.183876566253,1561.00234842333,132.575585183908,1117.12556521811,138.072851500225,8.22093801526593,2.25092550301421e-10
"Tb927.1.3310","hypothetical protein, conserved","overrepresented",2501.6906912876,232.865270483667,1357.41500628026,273.766857386186,2062.83085792344,276.283471413793,1973.97885183043,260.971866427882,7.72257555217996,7.64157608724121e-08
"Tb927.1.60","RNA polymerase (pseudogene), putative","overrepresented",20.8172524962427,4.78900299195202,57.1131385927716,4.70852088870591,39.1883434750628,6.07216420689656,39.0395781880257,5.18989602918483,7.64346539270807,0.00252235224269455
"Tb927.10.12050","hypothetical protein, conserved","overrepresented",4293.78460183372,139.479712140603,3140.44025084089,151.345314279833,5214.22681237641,121.443284137931,4216.150555017,137.422770186122,31.4899830697476,2.81024468547863e-29
"Tb927.10.12370","gamma-glutamylcysteine synthetase (GCS)","overrepresented",20583.737229111,66.4474165133343,7452.09102871437,66.5919382831264,11501.7788099309,67.8058336436782,13179.2023559187,66.948396146713,197.10326531579,1.00162500854267e-37
"Tb927.10.13220","cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)","overrepresented",164.727824100703,29.9312686997001,115.791020708633,24.2152502847732,119.742160618247,29.3487936666667,133.420335142528,27.8317708837134,4.78841487538901,5.11378730155718e-10
"Tb927.10.1490","hypothetical protein, conserved","overrepresented",2613.01773724577,135.289334522645,924.763422145972,138.565043296202,1097.27361730176,117.395174666667,1545.01825889783,130.416517495171,11.7783292186231,1.59692848147265e-12
"Tb927.10.2830","hypothetical protein, conserved","overrepresented",12776.3624450853,278.360798907211,5832.5814823166,332.959691415632,8285.06894968619,256.042924057472,8964.67095902937,289.121138126772,31.9246915176537,5.68515612665726e-23
"Tb927.10.390","hypothetical protein, conserved","overrepresented",349.36780276303,43.6996523015622,579.737475304709,51.1210839345213,1139.72765606641,50.6013683908046,689.610978044716,48.4740348756294,13.9529600037118,1.76112746625092e-11
"Tb927.10.5150","zinc finger protein family member, putative (ZC3H31)","overrepresented",163.822726166084,35.3188970656461,185.422107486121,25.5605419672606,243.838581622613,42.5051494482759,197.694471758273,34.4615294937276,5.87643430745107,1.53245754451936e-08
