"Gene","Description","Phenotype","Treated_OldMP_1","Untreated_TwoTX_1","Treated_OldMP_2","Untreated_TwoTX_2","Treated_OldMP_3","Untreated_TwoTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.13450","hypothetical protein, conserved","overrepresented",229.548848895496,13.1583410534635,184.647918389139,5.57238507215032,212.794134881821,28.6542997511738,208.996967388819,15.7950086255959,19.3358736538412,4.08533833286769e-05
"Tb927.10.14170","aquaglyceroporin 2 (AQP2)","overrepresented",114.930580127269,18.7976300763765,101.196651376905,8.35857760822548,90.0747900494074,7.16357493779345,102.06734051786,11.4399275407985,10.2650072698964,1.42469804097942e-05
"Tb927.10.15420","hypothetical protein, conserved","overrepresented",43.4112789067672,1.87976300763765,38.8480036091434,5.57238507215032,36.876256328952,7.16357493779345,39.7118462816209,4.87190767252714,11.7377612176761,0.0114361431139844
"Tb927.10.3250","hypothetical protein, conserved","overrepresented",32.1680699812735,1.87976300763765,24.4598541242755,1.39309626803758,33.8536123675625,7.16357493779345,30.1605121577038,3.47881140448956,13.1321793101757,0.0023099952649383
"Tb927.10.5540","hypothetical protein, conserved","overrepresented",49.9698174466385,11.2785780458259,76.736797252629,4.17928880411274,62.2664656046239,7.16357493779345,62.9910267679638,7.54048059591069,10.4946033987611,0.000113417826060793
"Tb927.10.5990","hypothetical protein, conserved","overrepresented",18.4263701834479,1.87976300763765,21.102619244473,1.39309626803758,29.0173820293393,7.16357493779345,22.8487904857534,3.47881140448956,9.66705959157651,0.0150489985642653
"Tb927.10.6380","ring finger containing protein","overrepresented",107.122796151231,18.7976300763765,104.074281273878,1.39309626803758,96.7246067644643,7.16357493779345,102.640561396525,9.1181004274025,31.3027307545697,0.0284315835498289
"Tb927.10.8980","hypothetical protein, conserved","overrepresented",50.906751523763,1.87976300763765,55.1545730253271,8.35857760822548,57.4302352664007,14.3271498755869,54.4971866051636,8.18849683048334,12.5628409148622,9.11885184300593e-05
"Tb927.11.11950","cytochrome oxidase assembly protein, putative","overrepresented",50.906751523763,7.51905203055059,52.2769431283535,8.35857760822548,61.661936812346,14.3271498755869,54.9485438214875,10.068259838121,5.77616919157917,0.00302553011829241
"Tb927.11.12340","predicted Zinc finger, C3HC4 type (RING finger) protein","overrepresented",127.423034488928,5.63928902291294,155.392014436574,11.1447701443006,154.154842030865,7.16357493779345,145.656630318789,7.98254470166901,19.3526299720835,2.63274238070758e-08
"Tb927.11.4920","hypothetical protein, conserved","overrepresented",77.7655284013312,11.2785780458259,62.82825275059,8.35857760822548,81.6113869575167,7.16357493779345,74.0683893698126,8.93357686394827,8.60138220781011,0.000190272497571981
"Tb927.11.6090","tatD related deoxyribonuclease, putative","overrepresented",93.0687849943642,15.0381040611012,71.9407474243397,6.9654813401879,76.1706278270156,7.16357493779345,80.3933867485732,9.72238677969418,9.05003048325592,0.00185102084333575
"Tb927.11.8890","DNA-dependent RNA polymerases, putative (RPC19)","overrepresented",148.972518262791,26.3166821069271,156.830829385061,4.17928880411274,139.646151016195,7.16357493779345,148.483166221349,12.5531819496111,20.8934682585505,8.89080589590883e-06
"Tb927.11.9490","hypothetical protein, conserved","overrepresented",63.0868945263811,3.7595260152753,51.3177331626957,1.39309626803758,58.6392928509565,7.16357493779345,57.6813068466777,4.10539907370211,20.6011598550856,9.63812976405961e-06
"Tb927.11.9620.1","hypothetical protein, conserved","overrepresented",105.248927996982,9.39881503818824,113.666380930457,23.6826365566389,124.532931209248,7.16357493779345,114.482746712229,13.4150088442068,11.1272866466412,0.0216968606174611
"Tb927.3.3770","paraflagellar rod component, putative (PFC6)","overrepresented",54.9667991913023,13.1583410534635,61.8690427849321,9.75167387626306,76.1706278270156,7.16357493779345,64.3354899344167,10.02452995584,7.05161183849159,0.0033008432409533
"Tb927.3.5040","hypothetical protein, conserved","overrepresented",60.5884036540492,1.87976300763765,79.1348221667737,2.78619253607516,57.4302352664007,14.3271498755869,65.7178203624078,6.33103513976657,21.5476410811717,8.30852575548106e-06
"Tb927.3.5350","hypothetical protein, conserved","overrepresented",173.95742698611,9.39881503818824,154.432804470916,27.8619253607516,200.099030243986,7.16357493779345,176.163087233671,14.8081051122444,17.3280259328017,0.000248033170399857
"Tb927.3.5360","hypothetical protein, conserved","overrepresented",33.4173154174395,1.87976300763765,31.6539288667095,1.39309626803758,35.0626699521183,7.16357493779345,33.3779714120891,3.47881140448956,15.1313275501501,0.00038233244877146
"Tb927.3.5655","hypothetical protein","overrepresented",123.67529818043,24.4369190992894,143.40188986585,27.8619253607516,143.877852562141,28.6542997511738,136.98501353614,26.9843814037383,5.07634653751925,3.2998437704239e-08
"Tb927.4.2030","ALBA-Domain Protein (ALBA4)","overrepresented",137.416997978256,11.2785780458259,175.535423715389,18.1102514844885,181.358637683371,21.4907248133804,164.770353125672,16.9598514478983,10.1051399819108,1.98821349202288e-06
"Tb927.4.5230","hypothetical protein, conserved","overrepresented",119.615250512891,22.5571560916518,120.860455672891,6.9654813401879,122.719344832414,28.6542997511738,121.065017006065,19.3923123943378,8.97895361553685,3.62582039009711e-05
