"Gene","Description","Phenotype","Treated_OldMP_1","Untreated_OneTX_1","Treated_OldMP_2","Untreated_OneTX_2","Treated_OldMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.1.4400","hypothetical protein, conserved","overrepresented",48.7205720104725,1.8101958692385,49.3993132313799,10.9532046616274,41.1079578748973,5.44282548264761,46.4092810389166,6.06874200450451,12.9924168467875,0.000185822446157284
"Tb927.10.10320","Dynein light chain Tctex-type, putative","overrepresented",39.0389198801863,8.14588141157324,56.5933879738139,14.0826917078067,59.2438216432344,13.0627811583543,51.6253764990782,11.7637847592447,4.44881215220601,0.000347877018065672
"Tb927.10.11000","hypothetical protein, conserved","overrepresented",65.2730740396715,5.43058760771549,56.5933879738139,0.782371761544816,62.2664656046239,5.44282548264761,61.3776425393698,3.88526161730264,31.9317653118976,2.57832146469842e-09
"Tb927.10.11150","hypothetical protein, conserved","overrepresented",127.73534584797,0.905097934619249,132.370975260785,32.8596139848823,126.346517586081,4.35426038611809,128.817612898279,12.7063241018732,58.0579642215739,0.0180838017901343
"Tb927.10.11690","hypothetical protein, conserved","overrepresented",31.5434472631905,1.8101958692385,32.1335338495384,0.782371761544816,33.2490835752846,6.53139057917713,32.3086882293378,3.04131940332015,21.1960141376514,6.91158888080722e-05
"Tb927.10.12430","hypothetical protein, conserved","overrepresented",32.1680699812735,0.905097934619249,31.6539288667095,0.782371761544816,38.0853139135078,6.53139057917713,33.9691042538303,2.7396200917804,27.2770123862088,0.00012336524191882
"Tb927.10.12530","chaperone protein DNAj, putative","overrepresented",115.867514204393,2.71529380385775,104.553886256707,21.12403756171,103.978952271799,5.44282548264761,108.133450910966,9.76071894940513,22.2418535208637,8.68630713006984e-05
"Tb927.10.13450","hypothetical protein, conserved","overrepresented",229.548848895496,3.62039173847699,184.647918389139,10.9532046616274,212.794134881821,46.8082991507694,208.996967388819,20.4606318502913,28.2694632947044,0.000178799476111763
"Tb927.10.1400","hypoxanthine-guanine phosphoribosyltransferase (HGPRT)","overrepresented",29.9818904679831,2.71529380385775,25.8986690727623,0.782371761544816,35.6671987443962,7.61995567570665,30.5159194283805,3.7058737470364,16.2751287678702,0.000325743852814848
"Tb927.10.1880","hypothetical protein, conserved","overrepresented",142.101668363878,1.8101958692385,165.94332405881,17.9945505155308,144.482381354419,6.53139057917713,150.842457925702,8.77871232131546,36.6146025786212,0.000835246558032233
"Tb927.10.230","proteasome subunit alpha type-5, putative,20S proteasome subunit alpha 5, putative","overrepresented",41.5374107525182,2.71529380385775,47.9604982828931,3.12948704617926,41.1079578748973,6.53139057917713,43.5352889701029,4.12539047640471,12.3056118151888,1.06849801291249e-06
