"Gene","Description","Phenotype","Treated_TwoTX_1","Untreated_OldMP_1","Treated_TwoTX_2","Untreated_OldMP_2","Treated_TwoTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.1.1020","leucine-rich repeat-containing protein","overrepresented",2565.87650542539,146.786338749501,1558.87472393405,162.586089179008,988.573341415497,139.041622223917,1704.44152359165,149.471350050809,11.3927515494413,3.63794834853958e-14
"Tb927.1.1500","conserved protein, unknown function","overrepresented",1007.55297209378,200.191581145595,1356.8757650686,179.37226357802,4362.61713711621,217.630365220045,2242.34862475953,199.064736647887,10.8811726738111,2.73124660205586e-08
"Tb927.1.3310","hypothetical protein, conserved","overrepresented",4246.38463425345,273.584750520346,1781.77012682006,275.293260143807,6991.64913928641,240.602459326605,4339.93463345331,263.160156663586,17.0174883914383,7.30674439185901e-15
"Tb927.10.12050","hypothetical protein, conserved","overrepresented",11436.4781384674,148.660206903749,4729.56182998758,129.013740380983,12858.6170133393,154.759370823143,9674.88566059809,144.144439369292,65.5591665879292,7.0616904247772e-45
"Tb927.10.12130","hypothetical protein, conserved","overrepresented",349.635919420602,56.5283559865098,238.219461834426,49.3993132313799,845.301842659628,38.6898427057857,477.719074638219,48.2058373078918,10.9518749120031,3.66165652177141e-05
"Tb927.10.12370","gamma-glutamylcysteine synthetase (GCS)","overrepresented",20914.2432229765,57.1529787045928,9984.32095302533,52.7565481111824,42974.2860518229,84.6340309189062,24624.2834092749,64.8478525782272,354.317735052326,1.74717886127768e-48
"Tb927.10.12780","Zinc finger CCCH domain-containing protein 37 (ZC3H37)","overrepresented",887.24813960497,150.221763698957,763.416754884594,155.871619419403,866.792567473008,170.477119422368,839.152487320857,158.856834180243,5.2961643626337,2.38587983906948e-19
"Tb927.10.13220","cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)","overrepresented",146.621514595737,26.5464655185267,140.702723071796,32.6131388323673,121.780773942489,25.3902092756719,136.36833720334,28.1832712088553,4.87795533298248,5.13933227399352e-10
"Tb927.10.1490","hypothetical protein, conserved","overrepresented",620.321792520424,125.861477693721,653.362149709625,126.136110484009,1167.66271486033,139.041622223917,813.782219030127,130.346403467216,6.16878739733976,6.73253724185324e-07
"Tb927.10.2830","hypothetical protein, conserved","overrepresented",15115.1743444143,314.18522719574,8587.04539618364,303.589954130714,27758.8528839496,271.433427732778,17153.6908748492,296.40286968641,59.5539194959199,1.56356393059939e-32
"Tb927.10.390","hypothetical protein, conserved","overrepresented",1849.68679951545,59.6514695769247,934.767595853216,54.6749680424982,694.866768965965,51.9894761358996,1159.77372144488,55.4386379184408,20.4901912170534,2.67191416996467e-15
"Tb927.10.5150","zinc finger protein family member, putative (ZC3H31)","overrepresented",479.3395669476,31.5434472631905,259.11590585499,24.9394591071044,265.052272698358,33.8536123675625,334.502581833649,30.1121729126192,11.1384434850104,3.35889811399706e-16
"Tb927.10.6850","mitochondrial RNA binding complex 1 subunit,mitochondrial edited mRNA stability factor 1 subunit,kinteoplast poly(A) polymerase complex 1 subunit","overrepresented",2501.96456316571,50.28212880568,601.817587792234,49.8789182142089,3782.36756715494,65.2891095660134,2295.38323937096,55.1500521953007,39.9188968497981,2.39516835203901e-16
"Tb927.10.7150","hypothetical protein","overrepresented",1338.39126143801,104.311993919858,398.425532658748,88.7269218233523,2757.97635105048,91.8883764262411,1498.26438171574,94.9757640564837,15.7785150969042,3.02165802881568e-09
"Tb927.10.7880","hypothetical protein, conserved","overrepresented",306.401370244937,6.24622718082981,103.089123834781,9.59209965657863,193.416523320423,1.81358637683371,200.969005800047,5.88397107141405,55.4832556806414,2.42749669443382e-12
"Tb927.10.9060","hypothetical protein, conserved","overrepresented",4688.12894104829,304.191263706412,1723.26008356249,262.823530590254,6561.8346430188,272.037956525056,4324.40788920986,279.684250273907,15.3631752019508,2.36584553418091e-14
"Tb927.10.9400","branch point binding protein, putative","overrepresented",375.95260152753,74.0177920928333,296.729505092004,66.1854876303925,680.539619090378,70.7298686965145,451.073908569971,70.3110494732468,6.39473109767648,3.08714088972539e-09
"Tb927.10.9720","RNA-editing-associated protein 1,RNA-binding protein,oligo (U) binding protein,RNA editing complex protein (REAP-1)","overrepresented",280.084688138009,61.5253377311736,398.425532658748,56.113782990985,1081.69981560681,43.5260730440089,586.73667880119,53.7217312553892,12.168142916314,2.43517990233227e-08
"Tb927.11.11435","dynein light chain lc6","overrepresented",129786.357099334,257.65687120923,35408.3278447112,256.588665813478,269808.886457053,245.438689664828,145001.190467033,253.228075562512,580.335560217269,2.94875893886385e-43
"Tb927.11.12380","hypothetical protein, conserved","overrepresented",12229.7381276905,49.032883369514,6745.37212983796,45.0828683859195,24513.7534371292,41.7124866671752,14496.2878982192,45.2760794742029,328.908185182875,4.03604763435234e-62
"Tb927.11.13090","elongation factor 1 gamma, putative","overrepresented",3973.81899814599,29.3572677499001,3225.017860507,40.7664235404592,6339.76381994721,32.6445547830067,4512.86689286673,34.2560820244553,136.225391207618,1.15894534645387e-64
"Tb927.11.13190","elongation factor 1 gamma, putative","overrepresented",3932.46421197796,32.480381340315,3071.77727102286,36.9295836778277,6232.31019588031,24.785680483394,4412.18389296038,31.3985485005122,151.899770035843,4.06276852490054e-71
