"Gene","Description","Phenotype","Treated_NewMP_1","Untreated_OneTX_1","Treated_NewMP_2","Untreated_OneTX_2","Treated_NewMP_3","Untreated_OneTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.11000","hypothetical protein, conserved","overrepresented",56.8694105294302,5.43058760771549,59.1928340294457,0.782371761544816,60.7216420689656,5.44282548264761,58.9279622092805,3.88526161730264,32.428840062218,4.83551090866805e-09
"Tb927.10.11690","hypothetical protein, conserved","overrepresented",32.9243955696701,1.8101958692385,26.905833649748,0.782371761544816,43.517176816092,6.53139057917713,34.4491353451701,3.04131940332015,19.7470556870225,3.79387536766915e-05
"Tb927.10.12430","hypothetical protein, conserved","overrepresented",32.3257701956761,0.905097934619249,28.2511253322354,0.782371761544816,41.4931220804598,6.53139057917713,34.0233392027905,2.7396200917804,26.0592292089707,0.000106695911707287
"Tb927.10.12530","chaperone protein DNAj, putative","overrepresented",100.569062830992,2.71529380385775,110.986563805211,21.12403756171,93.1065178390806,5.44282548264761,101.554048158428,9.76071894940513,19.7994430380877,0.000118226379372254
"Tb927.10.13450","hypothetical protein, conserved","overrepresented",228.674892865709,3.62039173847699,233.408106911564,10.9532046616274,191.273172517242,46.8082991507694,217.785390764838,20.4606318502913,29.5196353358993,0.000106695911707287
"Tb927.10.1880","hypothetical protein, conserved","overrepresented",146.663216628531,1.8101958692385,119.058313900135,17.9945505155308,128.527475712644,6.53139057917713,131.41633541377,8.77871232131546,35.7718040213219,0.00145836125372725
"Tb927.10.230","proteasome subunit alpha type-5, putative,20S proteasome subunit alpha 5, putative","overrepresented",31.7271448216821,2.71529380385775,41.7040421571095,3.12948704617926,29.3487936666667,6.53139057917713,34.2599935484861,4.12539047640471,9.83475531908707,1.74135294013031e-05
"Tb927.10.2600","hypothetical protein, conserved","overrepresented",35.9175224396401,1.8101958692385,41.0313963158658,1.56474352308963,38.4570399770115,6.53139057917713,38.4686529108391,3.30210999050175,17.3174207964673,1.97255613619991e-05
"Tb927.10.5540","hypothetical protein, conserved","overrepresented",46.6927791715322,0.905097934619249,51.793729775765,1.56474352308963,48.5773136551725,6.53139057917713,49.0212742008232,3.000410678962,30.7088742654685,6.55840001726889e-08
"Tb927.10.5880","Proteophosphoglycan, putative","overrepresented",40.7065254315922,5.43058760771549,33.6322920621851,1.56474352308963,27.3247389310345,2.17713019305904,33.8878521416039,3.05748710795472,13.8467991921859,0.000540788653608245
