"Gene","Description","Phenotype","Treated_OneTX_1","Untreated_OldMP_1","Treated_OneTX_2","Untreated_OldMP_2","Treated_OneTX_3","Untreated_OldMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.1.1020","leucine-rich repeat-containing protein","overrepresented",717.742662153064,146.786338749501,1072.63168507794,162.586089179008,1561.00234842333,139.041622223917,1117.12556521811,149.471350050809,7.57129880654045,1.2731512483946e-09
"Tb927.1.3310","hypothetical protein, conserved","overrepresented",2501.6906912876,273.584750520346,1357.41500628026,275.293260143807,2062.83085792344,240.602459326605,1973.97885183043,263.160156663586,7.54950635163824,1.09060482404976e-07
"Tb927.10.12050","hypothetical protein, conserved","overrepresented",4293.78460183372,148.660206903749,3140.44025084089,129.013740380983,5214.22681237641,154.759370823143,4216.150555017,144.144439369292,28.972532755583,1.22828635396031e-28
"Tb927.10.12370","gamma-glutamylcysteine synthetase (GCS)","overrepresented",20583.737229111,57.1529787045928,7452.09102871437,52.7565481111824,11501.7788099309,84.6340309189062,13179.2023559187,64.8478525782272,212.435369197632,1.60289024459142e-38
"Tb927.10.1490","hypothetical protein, conserved","overrepresented",2613.01773724577,125.861477693721,924.763422145972,126.136110484009,1097.27361730176,139.041622223917,1545.01825889783,130.346403467216,11.9947415196156,1.63006996413911e-12
"Tb927.10.2830","hypothetical protein, conserved","overrepresented",12776.3624450853,314.18522719574,5832.5814823166,303.589954130714,8285.06894968619,271.433427732778,8964.67095902937,296.40286968641,30.1334978407922,1.24873128449764e-22
"Tb927.10.390","hypothetical protein, conserved","overrepresented",349.36780276303,59.6514695769247,579.737475304709,54.6749680424982,1139.72765606641,51.9894761358996,689.610978044716,55.4386379184408,12.7941459665011,1.87727417818391e-10
"Tb927.10.5150","zinc finger protein family member, putative (ZC3H31)","overrepresented",163.822726166084,31.5434472631905,185.422107486121,24.9394591071044,243.838581622613,33.8536123675625,197.694471758273,30.1121729126192,6.61039383077202,5.61313674409506e-10
"Tb927.10.6850","mitochondrial RNA binding complex 1 subunit,mitochondrial edited mRNA stability factor 1 subunit,kinteoplast poly(A) polymerase complex 1 subunit","overrepresented",1182.05790261274,50.28212880568,460.816967549897,49.8789182142089,1132.1077003907,65.2891095660134,924.994190184446,55.1500521953007,16.695712674754,2.57835659982439e-09
"Tb927.10.7880","hypothetical protein, conserved","overrepresented",76.0282265080169,6.24622718082981,162.733326401322,9.59209965657863,210.093063630198,1.81358637683371,149.618205513179,5.88397107141405,48.3270644858122,1.87727417818391e-10
"Tb927.10.9060","hypothetical protein, conserved","overrepresented",2400.31972261025,304.191263706412,1387.14513321896,262.823530590254,2496.07976634219,272.037956525056,2094.51487405713,279.684250273907,7.44805496840666,9.33951986724195e-08
"Tb927.10.9720","RNA-editing-associated protein 1,RNA-binding protein,oligo (U) binding protein,RNA editing complex protein (REAP-1)","overrepresented",362.944271782319,61.5253377311736,327.813768087278,56.113782990985,213.358758919786,43.5260730440089,301.372266263128,53.7217312553892,5.54763694556506,0.000138647618300996
"Tb927.11.10230","RNA polymerase-associated protein CDC73, putative","overrepresented",182.829782793088,5.93391582178832,51.6365362619579,10.0717046394076,23.9484321236495,5.44075913050112,86.1382503928985,7.14879319723233,13.4465153568628,0.000153235555228606
"Tb927.11.11435","dynein light chain lc6","overrepresented",45306.4873132357,257.65687120923,14844.7218035513,256.588665813478,36795.6773928909,245.438689664828,32315.6288365593,253.228075562512,127.870853341476,6.89183732694013e-25
"Tb927.11.12380","hypothetical protein, conserved","overrepresented",7015.4140912338,49.032883369514,4110.58123515646,45.0828683859195,4625.31309515394,41.7124866671752,5250.43614051473,45.2760794742029,115.046539394561,8.34828141945379e-42
"Tb927.11.13090","elongation factor 1 gamma, putative","overrepresented",2665.51341745369,29.3572677499001,2005.21882483936,40.7664235404592,1666.5931627867,32.6445547830067,2112.44180169325,34.2560820244553,63.6788020515398,9.46945295475457e-46
"Tb927.11.13190","elongation factor 1 gamma, putative","overrepresented",2599.44126822648,32.480381340315,2088.15023156311,36.9295836778277,1609.98777776716,24.785680483394,2099.19309251892,31.3985485005122,67.1771970790361,5.66776074562722e-51
"Tb927.11.15280","tRNA-sepcific adenosine deaminase (ADAT3)","overrepresented",959.403810696404,22.7987292100288,370.844214972243,30.6947189010516,961.202980235567,25.9947380679498,763.817001968071,26.4960620596767,30.3799944203712,5.85727724234137e-16
"Tb927.11.1810","hypothetical protein, conserved","overrepresented",537.628173163834,37.4773630849789,353.632036218257,32.1335338495384,621.570670118357,30.830968406173,504.276959833482,33.4806217802301,15.1703612247625,6.05547735219903e-17
"Tb927.11.2350","hypothetical protein, conserved","overrepresented",430.826616878762,12.4924543616596,104.055444285461,17.2657793818415,183.967501313489,15.7177485992254,239.616520825904,15.1586607809089,17.4060259219248,2.29521471693714e-06
"Tb927.11.290","phosphatase and tensin homologue, putative","overrepresented",166.538019969942,18.7386815424894,224.540695563362,23.0210391757887,474.614382086871,33.8536123675625,288.564365873392,25.2044443619469,10.8869058627646,2.34360965759453e-05
"Tb927.11.500","RNA-binding protein, UBP1 (UBP1)","overrepresented",330.360746136026,15.927879311116,82.1490349622057,10.5513096222365,56.6053850195351,8.46340309189062,156.371722039256,11.647530675081,11.7383210423805,0.000446533707083205
"Tb927.11.5600","hypothetical protein, conserved","overrepresented",1807.48057543464,208.311676480674,1034.29546876225,174.576213749731,1990.98556155249,209.166962128154,1610.92053524979,197.351617452853,8.04001947616099,1.94807769093851e-08
"Tb927.11.590","hypothetical protein, conserved","overrepresented",85271.0866163487,142.726291081961,36223.0301877634,135.728210140588,57219.3357339778,158.991072369088,59571.15084603,145.815191197212,408.071414298159,1.41386350400487e-37
"Tb927.11.7475","hypothetical protein, conserved","overrepresented",4583.41594091188,277.332486828844,3717.83061086096,289.681409628675,5342.67749376689,287.755705124281,4547.97468184658,284.923200527266,15.9759027765365,4.14121723513749e-21
"Tb927.2.2130","small GTP-binding protein RAB6, putative","overrepresented",590.12385337175,55.2791105503438,378.667932587691,62.3486477677611,303.709661931736,56.2211776818449,424.167149297059,57.9496453333166,7.38359845088503,2.10205934647102e-11
"Tb927.2.3780","translation initiation factor IF-2, putative","overrepresented",324.93015852831,43.4112789067672,315.295819902561,47.0012883172353,189.410326796137,39.2943714980636,276.545435075669,43.2356462406887,6.33781805937549,9.99828926508085e-09
"Tb927.2.5210","3-oxoacyl-ACP reductase, putative","overrepresented",11187.9155698285,381.019858030618,7204.07918030466,402.388580593473,10771.3516301596,438.887903193757,9721.1154600976,407.432113939283,23.9362473279473,6.77064318087709e-26
"Tb927.3.1610","protein kinase, putative","overrepresented",2001.17153344316,87.7594918906589,1238.49449852544,58.9914128879586,1333.49224324866,94.3064915953527,1524.38609173909,80.35246545799,19.3124594697491,4.40543486777634e-27
"Tb927.3.4030","hypothetical protein, conserved","overrepresented",2679.9949844076,141.789357004837,1426.2637212962,127.095320449667,2010.57973329003,132.996334301138,2038.94614633127,133.960337251881,15.0802666792909,5.18496358186696e-14
"Tb927.3.4930","hypothetical protein, conserved","overrepresented",874.324604842194,49.9698174466385,963.882010223213,51.3177331626957,961.202980235567,86.44761729574,933.136531766992,62.5783893016914,15.7995303645786,1.07560318508317e-17
"Tb927.3.5190","hypothetical protein, conserved","overrepresented",778.384223772554,149.284829621833,789.413107398719,146.759124745653,1175.65030425188,141.459737393029,914.482545141052,145.834563920172,6.30130220319822,2.89363501374827e-15
"Tb927.3.5250","Zinc finger CCCH domain-containing protein 8 (ZC3H8)","overrepresented",1717.87587990733,9.68165213028621,856.697078891573,12.4697295535522,303.709661931736,18.740392560615,959.427540243548,13.6305914148178,87.4481743790377,2.76295777535759e-15
