"Gene","Description","Phenotype","Treated_TwoTX_1","Untreated_NewMP_1","Treated_TwoTX_2","Untreated_NewMP_2","Treated_TwoTX_3","Untreated_NewMP_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.1.100","RNA polymerase (pseudogene), putative","overrepresented",122.184595496447,9.57800598390404,45.9721768452401,2.6905833649748,300.870147387325,6.07216420689656,156.342306576337,6.1135845185918,26.4640636997261,1.62372132706858e-08
"Tb927.1.1020","leucine-rich repeat-containing protein","overrepresented",2565.87650542539,148.459092750513,1558.87472393405,133.183876566253,988.573341415497,132.575585183908,1704.44152359165,138.072851500225,12.1482494698264,5.1654694330599e-15
"Tb927.1.1500","conserved protein, unknown function","overrepresented",1007.55297209378,150.254968872495,1356.8757650686,194.39464811943,4362.61713711621,232.766294597701,2242.34862475953,192.471970529875,10.8093684455768,1.61934868277966e-08
"Tb927.1.3310","hypothetical protein, conserved","overrepresented",4246.38463425345,232.865270483667,1781.77012682006,273.766857386186,6991.64913928641,276.283471413793,4339.93463345331,260.971866427882,16.6832635569081,5.72994771338085e-15
"Tb927.1.60","RNA polymerase (pseudogene), putative","overrepresented",84.5893353436941,4.78900299195202,29.2550216287892,4.70852088870591,243.561547884977,6.07216420689656,119.135301619154,5.18989602918483,21.3292045068545,5.89952167672832e-07
"Tb927.10.12050","hypothetical protein, conserved","overrepresented",11436.4781384674,139.479712140603,4729.56182998758,151.345314279833,12858.6170133393,121.443284137931,9674.88566059809,137.422770186122,73.0418826484659,1.73129779886029e-45
"Tb927.10.12130","hypothetical protein, conserved","overrepresented",349.635919420602,39.5092746836042,238.219461834426,35.6502295859162,845.301842659628,66.7938062758621,477.719074638219,47.3177701817941,9.39566227174964,2.93684648084363e-05
"Tb927.10.12370","gamma-glutamylcysteine synthetase (GCS)","overrepresented",20914.2432229765,66.4474165133343,9984.32095302533,66.5919382831264,42974.2860518229,67.8058336436782,24624.2834092749,66.948396146713,366.155384099833,1.50650475290281e-47
"Tb927.10.12780","Zinc finger CCCH domain-containing protein 37 (ZC3H37)","overrepresented",887.24813960497,140.078337514597,763.416754884594,142.600918343665,866.792567473008,132.575585183908,839.152487320857,138.41828034739,6.07518758180504,4.28906577276854e-22
"Tb927.10.13220","cyclophilin type peptidyl-prolyl cis-trans isomerase, putative (PPIase)","overrepresented",146.621514595737,29.9312686997001,140.702723071796,24.2152502847732,121.780773942489,29.3487936666667,136.36833720334,27.8317708837134,4.95284583816763,1.3267937379747e-09
"Tb927.10.1490","hypothetical protein, conserved","overrepresented",620.321792520424,135.289334522645,653.362149709625,138.565043296202,1167.66271486033,117.395174666667,813.782219030127,130.416517495171,6.41559321812852,6.75071275716937e-07
"Tb927.10.2830","hypothetical protein, conserved","overrepresented",15115.1743444143,278.360798907211,8587.04539618364,332.959691415632,27758.8528839496,256.042924057472,17153.6908748492,289.121138126772,62.8351810459803,7.7745525669723e-33
"Tb927.10.390","hypothetical protein, conserved","overrepresented",1849.68679951545,43.6996523015622,934.767595853216,51.1210839345213,694.866768965965,50.6013683908046,1159.77372144488,48.4740348756294,24.7816008932392,1.90092168659662e-16
"Tb927.10.5150","zinc finger protein family member, putative (ZC3H31)","overrepresented",479.3395669476,35.3188970656461,259.11590585499,25.5605419672606,265.052272698358,42.5051494482759,334.502581833649,34.4615294937276,9.98162259679591,3.65011692037725e-14
"Tb927.10.6850","mitochondrial RNA binding complex 1 subunit,mitochondrial edited mRNA stability factor 1 subunit,kinteoplast poly(A) polymerase complex 1 subunit","overrepresented",2501.96456316571,52.0804075374782,601.817587792234,55.1569589819835,3782.36756715494,52.6254231264368,2295.38323937096,53.2875965486328,43.6082695261882,1.62514757931441e-16
"Tb927.10.7150","hypothetical protein","overrepresented",1338.39126143801,86.8006792291303,398.425532658748,96.8610011390929,2757.97635105048,77.9261073218392,1498.26438171574,87.1959292300208,18.308235761313,8.897653631096e-10
"Tb927.10.7880","hypothetical protein, conserved","overrepresented",306.401370244937,6.58487911393403,103.089123834781,4.70852088870591,193.416523320423,4.04810947126437,200.969005800047,5.11383649130144,38.7348957591734,3.85471492816469e-12
"Tb927.10.9060","hypothetical protein, conserved","overrepresented",4688.12894104829,239.450149597601,1723.26008356249,269.05833649748,6561.8346430188,279.319553517242,4324.40788920986,262.609346537441,16.4919074494218,5.1654694330599e-15
