"Gene","Description","Phenotype","Treated_NewMP_1","Untreated_TwoTX_1","Treated_NewMP_2","Untreated_TwoTX_2","Treated_NewMP_3","Untreated_TwoTX_3","TreatedAvg","UntreatedAvg","FoldChange","padj"
"Tb927.10.13450","hypothetical protein, conserved","overrepresented",228.674892865709,13.1583410534635,233.408106911564,5.57238507215032,191.273172517242,28.6542997511738,217.785390764838,15.7950086255959,21.9801579196997,2.73171929526859e-05
"Tb927.10.14170","aquaglyceroporin 2 (AQP2)","overrepresented",98.1745613350164,18.7976300763765,90.1345427266559,8.35857760822548,110.310983091954,7.16357493779345,99.5400290512088,11.4399275407985,10.4683538129011,1.79014245146321e-05
"Tb927.10.15420","hypothetical protein, conserved","overrepresented",40.7065254315922,1.87976300763765,32.2870003796977,5.57238507215032,32.384875770115,7.16357493779345,35.1261338604683,4.87190767252714,10.6566716804594,0.0180335658647289
"Tb927.10.3250","hypothetical protein, conserved","overrepresented",19.7546373418021,1.87976300763765,25.5605419672606,1.39309626803758,31.3728484022989,7.16357493779345,25.5626759037872,3.47881140448956,11.0788716795449,0.00489627371054454
"Tb927.10.3690","rRNA dimethyltransferase, putative","overrepresented",40.1079000575982,1.87976300763765,41.7040421571095,8.35857760822548,57.6855599655173,14.3271498755869,46.4991673934083,8.18849683048334,10.1174535667955,0.0166657634854972
"Tb927.10.5540","hypothetical protein, conserved","overrepresented",46.6927791715322,11.2785780458259,51.793729775765,4.17928880411274,48.5773136551725,7.16357493779345,49.0212742008232,7.54048059591069,7.77135363393227,0.000868125050052138
"Tb927.10.6380","ring finger containing protein","overrepresented",95.7800598390404,18.7976300763765,105.605397075261,1.39309626803758,117.395174666667,7.16357493779345,106.260210526989,9.1181004274025,32.4297877357061,0.0243479333187969
"Tb927.11.12340","predicted Zinc finger, C3HC4 type (RING finger) protein","overrepresented",150.254968872495,5.63928902291294,125.784772312572,11.1447701443006,133.587612551724,7.16357493779345,136.542451245597,7.98254470166901,18.8596423122597,5.89854401531886e-08
"Tb927.11.4920","hypothetical protein, conserved","overrepresented",72.4336702532743,11.2785780458259,71.3004591718323,8.35857760822548,68.8178610114943,7.16357493779345,70.850663478867,8.93357686394827,8.1863617468013,0.000283269163595438
"Tb927.11.6090","tatD related deoxyribonuclease, putative","overrepresented",77.8212986192203,15.0381040611012,82.7354384729752,6.9654813401879,66.7938062758621,7.16357493779345,75.7835144560192,9.72238677969418,8.7923168214394,0.00252804235796907
"Tb927.11.8890","DNA-dependent RNA polymerases, putative (RPC19)","overrepresented",117.330573302824,26.3166821069271,164.798231104707,4.17928880411274,132.575585183908,7.16357493779345,138.23479653048,12.5531819496111,20.7991455311304,1.68753023254352e-05
"Tb927.11.9490","hypothetical protein, conserved","overrepresented",52.0804075374782,3.7595260152753,49.1031464107902,1.39309626803758,62.7456968045978,7.16357493779345,54.6430835842887,4.10539907370211,19.2864668075245,1.49429078478531e-05
"Tb927.11.9620.1","hypothetical protein, conserved","overrepresented",104.75944044895,9.39881503818824,100.896876186555,23.6826365566389,110.310983091954,7.16357493779345,105.322433242487,13.4150088442068,10.2684243940321,0.0277210595384494
"Tb927.3.3770","paraflagellar rod component, putative (PFC6)","overrepresented",55.6721597814422,13.1583410534635,59.8654798706894,9.75167387626306,69.8298883793104,7.16357493779345,61.7891760104807,10.02452995584,6.70594884998098,0.00413101390138695
"Tb927.3.5040","hypothetical protein, conserved","overrepresented",69.4405433833043,1.87976300763765,52.4663756170087,2.78619253607516,58.6975873333334,14.3271498755869,60.2015021112154,6.33103513976657,19.9563048893341,1.66380561513045e-05
"Tb927.3.5350","hypothetical protein, conserved","overrepresented",167.615104718321,9.39881503818824,166.143522787194,27.8619253607516,151.804105172414,7.16357493779345,161.854244225976,14.8081051122444,14.9959516778195,0.000437636297129671
"Tb927.3.5655","hypothetical protein","overrepresented",118.527824050812,24.4369190992894,133.183876566253,27.8619253607516,139.659776758621,28.6542997511738,130.457159125229,26.9843814037383,4.83481769248133,1.10397183489319e-07
"Tb927.4.2030","ALBA-Domain Protein (ALBA4)","overrepresented",163.424727100363,11.2785780458259,170.179397834656,18.1102514844885,142.695858862069,21.4907248133804,158.766661265696,16.9598514478983,10.175523317228,2.80442339785524e-06
"Tb927.4.390","hypothetical protein, conserved","overrepresented",73.6309210012623,13.1583410534635,66.5919382831264,15.3240589484134,80.9621894252874,7.16357493779345,73.728349569892,11.8819916465568,7.08108883249065,0.000916059126434348
