"Gene","Phenotype"
"Tb927.10.13450","overrepresented"
"Tb927.10.5540","overrepresented"
"Tb927.11.8890","overrepresented"
"Tb927.11.9490","overrepresented"
"Tb927.3.5350","overrepresented"
"Tb927.4.2030","overrepresented"
"Tb927.6.3000","overrepresented"
"Tb927.7.200","overrepresented"
"Tb927.7.4390","overrepresented"
